Kuukausi;Puutavara 1000 m3
1981/07;1585
1981/08;1727
1981/09;2779
1981/10;3415
1981/11;3616
1981/12;4343
1982/01;3254
1982/02;4212
1982/03;5728
1982/04;5178
1982/05;3513
1982/06;2548
1982/07;1149
1982/08;1380
1982/09;2375
1982/10;3127
1982/11;4123
1982/12;4748
1983/01;3681
1983/02;4501
1983/03;5881
1983/04;5181
1983/05;3020
1983/06;2060
1983/07;1083
1983/08;1301
1983/09;2120
1983/10;2831
1983/11;3342
1983/12;4086
1984/01;3520
1984/02;4148
1984/03;4677
1984/04;4149
1984/05;3651
1984/06;2588
1984/07;1293
1984/08;1623
1984/09;2296
1984/10;3491
1984/11;4191
1984/12;5064
1985/01;4199
1985/02;4537
1985/03;5974
1985/04;5815
1985/05;4551
1985/06;2379
1985/07;1103
1985/08;1198
1985/09;1922
1985/10;2930
1985/11;3743
1985/12;4663
1986/01;4204
1986/02;4562
1986/03;4668
1986/04;4502
1986/05;3267
1986/06;2450
1986/07;1116
1986/08;1180
1986/09;2124
1986/10;3068
1986/11;3595
1986/12;3966
1987/01;3144
1987/02;4886
1987/03;5660
1987/04;5676
1987/05;3861
1987/06;2268
1987/07;950
1987/08;1485
1987/09;2553
1987/10;3439
1987/11;4068
1987/12;4902
1988/01;4398
1988/02;5598
1988/03;5522
1988/04;4844
1988/05;3930
1988/06;2611
1988/07;994
1988/08;1704
1988/09;2866
1988/10;3804
1988/11;4783
1988/12;5313
1989/01;5173
1989/02;5637
1989/03;5962
1989/04;5270
1989/05;3848
1989/06;2644
1989/07;966
1989/08;1950
1989/09;3054
1989/10;4125
1989/11;4938
1989/12;4675
1990/01;5363
1990/02;4916
1990/03;5939
1990/04;4666
1990/05;3576
1990/06;2122
1990/07;726
1990/08;2153
1990/09;2687
1990/10;4013
1990/11;4187
1990/12;3611
1991/01;4536
1991/02;4054
1991/03;3961
1991/04;3117
1991/05;2036
1991/06;1298
1991/07;603
1991/08;1729
1991/09;2592
1991/10;3727
1991/11;3432
1991/12;3946
1992/01;3614
1992/02;4241
1992/03;4907
1992/04;3147
1992/05;2304
1992/06;1613
1992/07;1118
1992/08;2805
1992/09;3627
1992/10;4299
1992/11;4521
1992/12;4370
1993/01;3918
1993/02;5287
1993/03;4366
1993/04;2618
1993/05;2276
1993/06;2160
1993/07;1304
1993/08;3248
1993/09;3585
1993/10;4107
1993/11;4798
1993/12;4762
1994/01;3509
1994/02;3851
1994/03;5724
1994/04;4801
1994/05;3453
1994/06;2295
1994/07;1899
1994/08;3896
1994/09;4226
1994/10;4602
1994/11;5333
1994/12;5738
1995/01;5023
1995/02;4673
1995/03;6860
1995/04;4973
1995/05;3177
1995/06;2349
1995/07;1772
1995/08;3867
1995/09;4124
1995/10;4726
1995/11;5267
1995/12;4373
1996/01;4762
1996/02;4591
1996/03;4888
1996/04;3450
1996/05;2665
1996/06;2085
1996/07;1753
1996/08;3732
1996/09;3725
1996/10;5041
1996/11;4625
1996/12;4504
1997/01;5074
1997/02;4888
1997/03;5412
1997/04;4727
1997/05;2580
1997/06;2563
1997/07;2139
1997/08;4012
1997/09;4790
1997/10;5617
1997/11;5051
1997/12;5234
1998/01;5085
1998/02;5141
1998/03;5975
1998/04;4753
1998/05;2858
1998/06;2912
1998/07;2695
1998/08;4394
1998/09;5065
1998/10;5359
1998/11;5460
1998/12;5294
1999/01;5059
1999/02;4963
1999/03;6649
1999/04;4652
1999/05;3041
1999/06;2656
1999/07;2420
1999/08;4528
1999/09;5087
1999/10;5140
1999/11;5745
1999/12;5364
2000/01;5600
2000/02;5843
2000/03;6131
2000/04;4210
2000/05;3567
2000/06;2980
2000/07;2379
2000/08;4829
2000/09;4968
2000/10;5589
2000/11;5732
2000/12;4726
2001/01;6049
2001/02;5409
2001/03;6446
2001/04;4226
2001/05;2876
2001/06;2615
2001/07;2476
2001/08;4623
2001/09;3878
2001/10;4944
2001/11;4905
2001/12;4656
2002/01;5188
2002/02;5428
2002/03;5745
2002/04;4842
2002/05;2878
2002/06;2674
2002/07;2231
2002/08;4369
2002/09;4896
2002/10;5721
2002/11;5514
2002/12;4917
2003/01;4556
2003/02;5297
2003/03;6110
2003/04;4853
2003/05;3561
2003/06;3336
2003/07;2243
2003/08;4213
2003/09;5026
2003/10;5478
2003/11;4918
2003/12;5100
2004/01;5002
2004/02;5218
2004/03;6293
2004/04;4320
2004/05;3297
2004/06;3555
2004/07;1775
2004/08;4526
2004/09;4665
2004/10;4976
2004/11;5265
2004/12;5091
2005/01;5127
2005/02;5440
2005/03;5980
2005/04;4928
2005/05;2615
2005/06;1445
2005/07;1983
2005/08;4562
2005/09;4644
2005/10;5081
2005/11;5716
2005/12;5529
2006/01;4212
2006/02;4585
2006/03;5972
2006/04;4629
2006/05;3082
2006/06;3139
2006/07;1999
2006/08;4325
2006/09;4476
2006/10;5078
2006/11;5128
2006/12;4280
2007/01;5485
2007/02;4669
2007/03;6188
2007/04;4473
2007/05;4235
2007/06;3836
2007/07;2789
2007/08;4981
2007/09;5203
2007/10;5672
2007/11;5596
2007/12;4537
2008/01;4765
2008/02;5545
2008/03;5475
2008/04;4877
2008/05;3301
2008/06;3219
2008/07;2127
2008/08;4039
2008/09;4909
2008/10;5068
2008/11;4200
2008/12;3630
2009/01;4761
2009/02;5007
2009/03;5453
2009/04;2361
2009/05;1127
2009/06;1810
2009/07;1183
2009/08;3397
2009/09;3835
2009/10;4012
2009/11;4186
2009/12;4183
2010/01;4194
2010/02;4625
2010/03;5704
2010/04;4166
2010/05;3168
2010/06;3282
2010/07;2012
2010/08;4342
2010/09;5098
2010/10;4817
2010/11;5774
2010/12;4470
2011/01;4715
2011/02;4767
2011/03;6027
2011/04;4696
2011/05;3736
2011/06;3630
2011/07;2029
2011/08;4978
2011/09;4852
2011/10;5206
2011/11;5338
2011/12;4490
2012/01;4651
2012/02;5107
2012/03;6003
2012/04;4701
2012/05;3395
2012/06;3602
2012/07;2129
2012/08;4568
2012/09;4416
2012/10;5495
2012/11;4819
2012/12;4130
2013/01;5545
2013/02;5549
2013/03;5983
2013/04;5490
2013/05;3153
2013/06;3242
2013/07;2239
2013/08;4589
2013/09;4874
2013/10;5620
